epoch,batch_size,train_loss,train_acc,val_acc,test_acc
1.0,16.0,0.678580993277645,0.5776173285198556,0.6054852320675106,0.7812828601472135
2.0,16.0,0.6387644301109222,0.6161251504211793,0.6856540084388185,0.7812828601472135
3.0,16.0,0.49816163782608636,0.7713598074608905,0.7637130801687764,0.7812828601472135
4.0,16.0,0.3826779843488468,0.8300240673886883,0.7658227848101266,0.7812828601472135
5.0,16.0,0.32150327685937985,0.8736462093862816,0.7658227848101266,0.7812828601472135
6.0,16.0,0.2656390218671622,0.8950060168471721,0.7468354430379747,0.7812828601472135
7.0,16.0,0.22084836199180313,0.9187725631768953,0.7552742616033755,0.7812828601472135
8.0,16.0,0.1847245813662323,0.9293020457280385,0.7447257383966245,0.7812828601472135
9.0,16.0,0.14854161303252805,0.9470517448856799,0.7362869198312236,0.7812828601472135
10.0,16.0,0.1231499581533864,0.9563778580024067,0.740506329113924,0.7812828601472135
