epoch,batch_size,train_loss,train_acc,val_acc
1.0,32.0,0.6815312367053669,0.5700962695547533,0.6054852320675106
2.0,32.0,0.6604142972995515,0.6067990373044525,0.6054852320675106
3.0,32.0,0.6174015107998349,0.631468110709988,0.689873417721519
4.0,32.0,0.49084171071809984,0.7758724428399518,0.7573839662447257
5.0,32.0,0.3810810830296162,0.8321299638989169,0.759493670886076
6.0,32.0,0.32635455373248756,0.8589049338146811,0.7637130801687764
7.0,32.0,0.28193099240892344,0.8898916967509025,0.7552742616033755
8.0,32.0,0.23574896352242333,0.907942238267148,0.7679324894514767
9.0,32.0,0.20777216590447833,0.924488567990373,0.7637130801687764
10.0,32.0,0.17027058966108177,0.9425391095066186,0.7531645569620253
11.0,32.0,0.14570386035347674,0.9551744885679904,0.7383966244725738
12.0,32.0,0.12580162054544178,0.9557761732851986,0.7320675105485233
13.0,32.0,0.1008700608005736,0.9693140794223827,0.7320675105485233
