epoch,learning_rate,loss_function,train_loss,train_accuracy,val_accuracy,test_accuracy
1,0.1,ce,0.7188,0.6149,0.7004,0.6898
2,0.1,ce,0.648,0.654,0.7089,0.6951
3,0.1,ce,0.6605,0.6366,0.6814,0.6751
4,0.1,ce,0.6449,0.6504,0.6245,0.6204
5,0.1,ce,0.6409,0.654,0.7532,0.7634
6,0.1,ce,0.6598,0.6474,0.7384,0.7424
7,0.1,ce,0.6769,0.6218,0.6097,0.612
8,0.1,ce,0.6792,0.6152,0.6371,0.6341
9,0.1,ce,0.6728,0.6255,0.6392,0.6509
10,0.1,ce,0.6657,0.6396,0.6414,0.6372
1,0.01,ce,0.5844,0.6934,0.7553,0.7634
2,0.01,ce,0.4216,0.8129,0.7152,0.7539
3,0.01,ce,0.3617,0.8565,0.73,0.7739
4,0.01,ce,0.3165,0.877,0.7194,0.7445
5,0.01,ce,0.3088,0.8788,0.7321,0.7424
6,0.01,ce,0.2723,0.8938,0.7004,0.7319
1,0.001,ce,0.6725,0.6056,0.6055,0.6067
2,0.001,ce,0.6141,0.6516,0.73,0.7497
3,0.001,ce,0.4332,0.8105,0.7637,0.7855
4,0.001,ce,0.3372,0.8619,0.77,0.7697
5,0.001,ce,0.2668,0.9007,0.7743,0.7792
6,0.001,ce,0.2045,0.9248,0.7447,0.7676
7,0.001,ce,0.1646,0.9368,0.7426,0.7666
8,0.001,ce,0.1248,0.96,0.7363,0.7539
9,0.001,ce,0.1053,0.9666,0.7089,0.7592
10,0.001,ce,0.0869,0.9756,0.7257,0.7518
1,0.0005,ce,0.6795,0.5848,0.6055,0.6067
2,0.0005,ce,0.6634,0.6068,0.6055,0.6067
3,0.0005,ce,0.6313,0.6194,0.6624,0.6604
4,0.0005,ce,0.5175,0.7566,0.7489,0.7687
5,0.0005,ce,0.3985,0.8273,0.7532,0.7844
6,0.0005,ce,0.3397,0.8568,0.7468,0.7823
7,0.0005,ce,0.2856,0.8836,0.7553,0.7729
8,0.0005,ce,0.25,0.9004,0.7595,0.776
9,0.0005,ce,0.2124,0.9242,0.7595,0.7708
10,0.0005,ce,0.1717,0.9404,0.7511,0.7645
11,0.0005,ce,0.1487,0.9501,0.7468,0.7666
12,0.0005,ce,0.1183,0.9633,0.7342,0.7592
13,0.0005,ce,0.1039,0.9672,0.7342,0.7581
14,0.0005,ce,0.0868,0.9768,0.7215,0.7581
1,0.001,ce,0.6745,0.5978,0.6055,0.6067
2,0.001,ce,0.6137,0.6474,0.7553,0.7613
3,0.001,ce,0.4326,0.815,0.77,0.7771
4,0.001,ce,0.3301,0.8559,0.7595,0.7844
5,0.001,ce,0.2663,0.8971,0.7489,0.7792
6,0.001,ce,0.2083,0.9269,0.7321,0.7645
7,0.001,ce,0.1638,0.944,0.7363,0.7539
8,0.001,ce,0.1254,0.9606,0.7447,0.7487
1,0.001,focal,0.0421,0.6068,0.6055,0.6067
2,0.001,focal,0.042,0.6068,0.6055,0.6067
3,0.001,focal,0.0416,0.6068,0.6055,0.6067
4,0.001,focal,0.0386,0.6634,0.7511,0.7697
5,0.001,focal,0.0306,0.7852,0.7468,0.7581
6,0.001,focal,0.0259,0.8312,0.7637,0.7781
7,0.001,focal,0.0217,0.8658,0.7616,0.7718
8,0.001,focal,0.0194,0.8839,0.7447,0.7697
9,0.001,focal,0.0169,0.9055,0.7384,0.7844
10,0.001,focal,0.0147,0.9227,0.7363,0.7708
11,0.001,focal,0.0134,0.9368,0.711,0.7571
